cell_type;gene
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18039568
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18038768
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18038575
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18037701
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18036082
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18035704
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18035530
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18035445
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18035366
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18035305
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18035194
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18034985
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18034761
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18034560
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18033461
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18033176
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18033064
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18032978
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18032726
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18032720
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18032654
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18031879
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18031823
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18031642
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18031532
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18031472
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18031322
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18030272
