item,itemLabel,statements,ensg_wdt,entrez
Q18312858,Clas3,6,,100035386
Q18312859,Azdm1,6,,100035387
Q18312860,Azdm2,6,,100035388
Q18312861,Azdm5,6,,100035389
Q18312862,Mskt2,6,,100035390
Q18312863,Mskt3,6,,100035391
Q18312864,Mskt5,6,,100035392
Q18312865,Mskt8,6,,100035393
Q18312866,Mskt9,6,,100035394
Q18312867,Anyt1,6,,100035395
Q18312868,Imct1,6,,100035396
Q18312869,Blct3,6,,100035397
Q18312870,Blct4,6,,100035398
Q18312871,Byln1,6,,100035399
Q18312872,Blct6,6,,100035400
Q18312873,Sttr2,6,,100035401
Q18312874,Mpcp2,6,,100035402
Q18312875,Mpcp4,6,,100035403
Q18312876,Mpcp8,6,,100035404
Q18312877,Mpcp10,6,,100035405
Q18312878,Dbm1,6,,100035406
Q18312879,Dbm2,6,,100035407
Q18312880,Chlq10,6,,100035408
Q18312881,Chlq13,6,,100035409
Q18312882,Chlq15,6,,100035410
Q18312883,Chlq18,6,,100035411
Q18312884,Hmtb3,6,,100035412
Q18312885,Bczr2,6,,100035413
Q18312886,Elorr1,7,,100035414
Q18312887,Slms2,6,,100035415
Q18312888,Elnv,7,,100035416
Q18312889,Elda4,6,,100035417
Q18312890,Wtlr1,6,,100035418
Q18312891,Wtlr2,6,,100035419
Q18312892,Nashs1,6,,100035420
Q18312893,Msts1,6,,100035421
Q18312894,Slcs1,6,,100035422
Q18312895,Nhil3,6,,100035423
Q18312896,Nhil4,7,,100035424
Q18312897,Tbt1,6,,100035425
Q18312898,Tbt3,6,,100035426
Q18312899,Fcs2,6,,100035427
Q18312900,Brwt1,6,,100035428
Q18312901,Brwt2,6,,100035429
Q18312902,Brwt3,6,,100035430
Q18312903,Hfem3,6,,100035431
Q18312904,Hfem4,6,,100035432
Q18312905,Ctrq3,6,,100035433
Q18312906,Dbsq1,6,,100035434
Q18312907,Dbsq4,6,,100035435
Q18312908,Dbsq7,6,,100035436
Q18312909,Eac2,6,,100035437
Q18312910,Eac3,6,,100035438
Q18312911,Eac6,6,,100035439
Q18312912,Ity6,6,,100035440
Q18312913,Ity8,6,,100035441
Q18312914,Brml1,6,,100035442
Q18312915,Brml5,6,,100035443
Q18312916,Brml7,6,,100035444
Q18312917,Bmd24,6,,100035445
Q18312918,Pstc1,6,,100035446
Q18312919,Pstc5,6,,100035447
Q18312920,Amdt1,6,,100035448
Q18312921,Ctpr1,6,,100035449
Q18312922,Imab,6,,100035450
